Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
2017,1,New Jersey,4200,18000,1500,1900,110
2017,1,New Mexico,6500,6500,1400,2700,100
2017,1,New York,31000,46000,4000,13500,1500
2017,1,North Carolina,23000,24000,1600,10000,550
2017,1,North Dakota,110000,530000,27000,23000,95000
2017,1,Ohio,14000,16500,1700,6000,1100
2017,1,Oklahoma,12000,13000,310,4000,10000
2017,1,Oregon,77000,132000,4300,19000,16000
2017,1,Pennsylvania,11000,14000,1300,6500,1100
2017,1,South Carolina,12500,13500,1300,2200,410
2017,1,South Dakota,51000,182000,11000,15000,13000
2017,1,Tennessee,8000,8000,580,3900,200
2017,1,Texas,340000,350000,36000,74000,54000
2017,1,Utah,14500,25000,4800,12000,7000
2017,1,Vermont,5000,6500,20,480,30
2017,1,Virginia,6000,6500,230,2200,480
2017,1,Washington,91000,143000,6000,21000,11500
2017,1,West Virginia,7000,7000,990,2600,160
2017,1,Wisconsin,18500,78000,5500,17500,3600
2017,1,Wyoming,6500,27000,2600,7500,580
2017,1,Other States 5/,7970,15530,1070,3270,270
2017,1,United States,2801470,(X),329820,736920,561160
2017,7,Alabama,8000,8000,1200,440,50
2017,7,Arizona,30000,32000,6000,3200,2600
2017,7,Arkansas,32000,32000,1500,270,60
2017,7,California,740000,820000,82000,33000,78000
2017,7,Colorado,33000,37000,6500,1100,740
2017,7,Connecticut,3100,3100,270,890,180
2017,7,Florida,200000,220000,25000,62000,14500
2017,7,Georgia,102000,103000,13000,12500,2300
2017,7,Hawaii,13500,13500,600,430,820
2017,7,Idaho,79000,131000,13000,1900,2800
2017,7,Illinois,11000,11000,1300,850,310
2017,7,Indiana,9500,9500,600,450,550
2017,7,Iowa,50000,50000,5500,10500,2400
2017,7,Kansas,8000,8000,2600,310,190
2017,7,Kentucky,7500,7500,1000,900,230
2017,7,Louisiana,51000,60000,7000,2600,2100
2017,7,Maine,5500,5500,420,240,140
2017,7,Maryland,7000,7000,200,400,20
2017,7,Massachusetts,9500,9500,530,450,40
2017,7,Michigan,108000,108000,15000,11000,9500
2017,7,Minnesota,132000,138000,26000,1300,1900
2017,7,Mississippi,19000,20000,3300,750,740
2017,7,Missouri,13500,13500,650,480,170
2017,7,Montana,147000,158000,11500,4100,6500
2017,7,Nebraska,45000,47000,8500,390,27000
2017,7,New Jersey,18000,18000,270,120,80
2017,7,New Mexico,6500,6500,1100,2000,1000
2017,7,New York,56000,56000,10000,1900,800
2017,7,North Carolina,25000,25000,1400,1400,1200
2017,7,North Dakota,510000,550000,71000,25000,104000
2017,7,Ohio,21000,21000,1600,980,630
2017,7,Oklahoma,3700,3700,560,30,30
2017,7,Oregon,107000,112000,7500,2900,4300
2017,7,Pennsylvania,19000,22000,1300,680,780
2017,7,South Carolina,13000,13500,920,990,50
2017,7,South Dakota,178000,191000,25000,4200,9500
2017,7,Tennessee,10000,10000,950,340,290
2017,7,Texas,129000,143000,12000,12500,810
2017,7,Utah,27000,33000,3200,1200,120
2017,7,Vermont,6500,6500,400,170,50
2017,7,Virginia,8000,8000,810,460,360
2017,7,Washington,57000,74000,5000,7500,2000
2017,7,West Virginia,7500,7500,190,130,220
2017,7,Wisconsin,71000,75000,12000,880,640
2017,7,Wyoming,32000,40000,7000,1800,1000
2017,7,Other States 5/,11880,11890,1920,1690,430
2017,7,United States,3181180,(X),397290,217320,282130
2017,8,Alabama,7000,7000,610,50,10
2017,8,Arizona,29000,31000,6500,4600,3100
2017,8,Arkansas,28000,28000,2500,20,10
2017,8,California,770000,1330000,205000,40000,35000
2017,8,Colorado,30000,30000,4500,2500,-
2017,8,Connecticut,3100,3100,240,-,-
2017,8,Florida,255000,300000,41000,31000,11500
2017,8,Georgia,96000,112000,11000,12000,450
2017,8,Hawaii,13500,13500,970,60,840
2017,8,Idaho,121000,143000,15500,5000,420
2017,8,Illinois,9000,9000,720,-,-
2017,8,Indiana,7500,7500,1200,20,-
2017,8,Iowa,54000,54000,4700,-,20
2017,8,Kansas,5000,5000,1300,200,-
2017,8,Kentucky,7500,7500,950,60,80
2017,8,Louisiana,48000,57000,2000,250,340
2017,8,Maine,3500,3500,280,-,-
2017,8,Maryland,7500,9500,500,20,30
2017,8,Massachusetts,8000,8000,740,-,-
2017,8,Michigan,101000,101000,12500,10,130
2017,8,Minnesota,113000,114000,13500,-,-
2017,8,Mississippi,17500,30000,2400,330,60
2017,8,Missouri,9000,9000,590,1400,640
2017,8,Montana,124000,124000,16000,2700,-
2017,8,Nebraska,37000,37000,4300,190,-
2017,8,New Jersey,12000,12000,340,400,-
2017,8,New Mexico,7000,7000,1600,1100,20
2017,8,New York,48000,49000,9000,240,130
2017,8,North Carolina,25000,25000,5500,220,50
2017,8,North Dakota,385000,390000,44000,13500,2500
2017,8,Ohio,19500,19500,2100,20,140
2017,8,Oklahoma,3100,44000,2700,120,30
2017,8,Oregon,98000,124000,9500,1500,1000
2017,8,Pennsylvania,21000,21000,3100,120,180
2017,8,South Carolina,12000,17000,1300,760,370
2017,8,South Dakota,146000,146000,11000,-,2400
2017,8,Tennessee,9000,9000,840,120,10
2017,8,Texas,136000,310000,39000,2200,650
2017,8,Utah,30000,30000,1600,440,50
2017,8,Vermont,6500,6500,260,20,10
2017,8,Virginia,7000,7000,730,230,10
2017,8,Washington,65000,97000,9000,3100,130
2017,8,West Virginia,7500,7500,1000,80,60
2017,8,Wisconsin,59000,59000,7500,10,20
2017,8,Wyoming,25000,27000,2200,50,-
2017,8,Other States 5/,6360,6460,580,20,-
2017,8,United States,3032060,(X),502350,124660,60390
