Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
2017,5,Alabama,7500,7500,1700,2100,90
2017,5,Arizona,30000,30000,4700,3500,150
2017,5,Arkansas,27000,27000,5000,5000,1100
2017,5,California,1130000,1410000,200000,210000,139000
2017,5,Colorado,5000,8500,750,1700,10
2017,5,Connecticut,2700,2700,270,70,10
2017,5,Florida,275000,295000,40000,49000,15500
2017,5,Georgia,100000,100000,15500,36000,3200
2017,5,Hawaii,15000,15000,280,570,530
2017,5,Idaho,91000,98000,8500,5500,3300
2017,5,Illinois,8500,9500,1400,860,40
2017,5,Indiana,6500,6500,770,30,-
2017,5,Iowa,13000,13000,2900,90,-
2017,5,Kansas,5000,5000,1100,1400,100
2017,5,Kentucky,6500,6500,1300,390,40
2017,5,Louisiana,54000,55000,11000,9500,2600
2017,5,Maine,2200,3700,170,-,-
2017,5,Maryland,7500,7500,820,1200,10
2017,5,Massachusetts,3000,3000,370,1200,140
2017,5,Michigan,25000,42000,5000,2300,80
2017,5,Minnesota,36000,38000,5500,6000,-
2017,5,Mississippi,21000,50000,7500,48000,25000
2017,5,Missouri,10000,10000,1300,5500,420
2017,5,Montana,16500,65000,900,24000,-
2017,5,Nebraska,11000,20000,720,510,-
2017,5,New Jersey,6000,6000,1000,80,20
2017,5,New Mexico,6000,6500,1700,1400,30
2017,5,New York,31000,33000,4200,970,600
2017,5,North Carolina,18500,24000,2600,1100,230
2017,5,North Dakota,89000,137000,8500,4600,-
2017,5,Ohio,16500,16500,2900,760,50
2017,5,Oklahoma,13500,13500,3300,4800,570
2017,5,Oregon,68000,92000,2900,3800,1300
2017,5,Pennsylvania,12500,12500,2900,480,170
2017,5,South Carolina,16500,16500,3500,3200,380
2017,5,South Dakota,47000,79000,10500,1600,-
2017,5,Tennessee,9000,9000,1700,180,70
2017,5,Texas,240000,320000,30000,126000,49000
2017,5,Utah,12000,14500,1900,1400,50
2017,5,Vermont,5500,5500,410,-,-
2017,5,Virginia,6500,6500,1100,560,70
2017,5,Washington,77000,146000,13500,5500,1200
2017,5,West Virginia,6500,8000,1700,-,-
2017,5,Wisconsin,20000,21000,3100,530,-
2017,5,Wyoming,2700,6500,340,440,-
2017,5,Other States 5/,7340,7940,900,60,-
2017,5,United States,2619940,(X),416100,571880,245060
2017,1,Alabama,8000,8000,930,1200,690
2017,1,Arizona,22000,23000,3700,14000,1600
2017,1,Arkansas,24000,24000,3400,12000,1600
2017,1,California,1110000,1150000,108000,240000,185000
2017,1,Colorado,9500,29000,1800,9000,680
2017,1,Connecticut,2500,2500,100,390,60
2017,1,Florida,240000,240000,29000,43000,21000
2017,1,Georgia,108000,111000,11000,17500,3600
2017,1,Hawaii,13500,13500,830,870,-
2017,1,Idaho,60000,80000,6000,19000,5500
2017,1,Illinois,9000,9000,740,2200,380
2017,1,Indiana,4300,7000,220,2700,900
2017,1,Iowa,10500,26000,2400,26000,760
2017,1,Kansas,4700,6000,960,3000,900
2017,1,Kentucky,5500,6000,450,2100,270
2017,1,Louisiana,52000,53000,4300,10000,9500
2017,1,Maine,3600,25000,4200,510,560
2017,1,Maryland,8000,9000,320,2800,400
2017,1,Massachusetts,4200,8500,300,1100,440
2017,1,Michigan,40000,103000,7500,13500,3200
2017,1,Minnesota,27000,126000,13000,24000,4200
2017,1,Mississippi,85000,90000,3700,9000,61000
2017,1,Missouri,12000,12500,770,1800,730
2017,1,Montana,62000,157000,7000,25000,13500
2017,1,Nebraska,19500,43000,6000,8000,28000
