Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
2018,7,Michigan,103000,109000,17500,4300,11500
2018,7,Minnesota,136000,136000,20000,1900,2200
2018,7,Mississippi,24000,24000,2900,250,230
2018,7,Missouri,9000,9000,580,320,310
2018,7,Montana,154000,161000,18500,3100,23000
2018,7,Nebraska,46000,47000,3700,880,13500
2018,7,New Jersey,16000,16000,420,280,110
2018,7,New Mexico,8500,8500,2500,1800,200
2018,7,New York,59000,59000,6500,3100,9000
2018,7,North Carolina,26000,27000,3300,4100,2900
2018,7,North Dakota,470000,490000,48000,24000,100000
2018,7,Ohio,23000,23000,1800,1100,1800
2018,7,Oklahoma,4400,4400,510,80,270
2018,7,Oregon,94000,101000,13500,7500,28000
2018,7,Pennsylvania,18500,18500,1500,6000,1600
2018,7,South Carolina,14500,14500,1700,640,440
2018,7,South Dakota,152000,159000,16500,6000,7500
2018,7,Tennessee,10000,10000,1700,800,960
2018,7,Texas,104000,115000,15000,21000,7500
2018,7,Utah,35000,35000,6500,5500,3200
2018,7,Vermont,7500,7500,180,520,270
2018,7,Virginia,11500,11500,1200,430,430
2018,7,Washington,82000,92000,17000,5500,10500
2018,7,West Virginia,9000,9000,930,440,1900
2018,7,Wisconsin,74000,75000,12500,6000,9000
2018,7,Wyoming,35000,36000,5500,3100,3500
2018,7,Other States 5/,8100,10000,1070,380,650
2018,7,United States,2994500,(X),394810,284370,449550
2018,8,Alabama,7500,7500,990,550,500
2018,8,Arizona,27000,30000,6500,1300,1100
2018,8,Arkansas,25000,25000,7500,2500,440
2018,8,California,680000,1200000,155000,90000,104000
2018,8,Colorado,34000,34000,7000,1500,4000
2018,8,Connecticut,4000,4000,330,190,110
2018,8,Florida,180000,240000,50000,55000,36000
2018,8,Georgia,125000,145000,21000,4300,2200
2018,8,Hawaii,15000,15000,130,970,290
2018,8,Idaho,113000,164000,9000,10000,5000
2018,8,Illinois,13500,13500,1800,140,460
2018,8,Indiana,11500,11500,1700,320,100
2018,8,Iowa,45000,45000,6500,250,3400
2018,8,Kansas,6500,6500,830,140,40
2018,8,Kentucky,7500,7500,870,50,120
2018,8,Louisiana,58000,60000,2700,390,1900
2018,8,Maine,5500,6000,60,220,110
2018,8,Maryland,8000,10500,1300,20,410
2018,8,Massachusetts,6000,6000,1100,120,550
2018,8,Michigan,88000,88000,11500,990,1900
2018,8,Minnesota,98000,98000,7000,1900,450
2018,8,Mississippi,14000,22000,3400,280,830
2018,8,Missouri,9500,9500,820,100,230
2018,8,Montana,115000,121000,13000,5500,2900
2018,8,Nebraska,42000,42000,7500,80,50
2018,8,New Jersey,15500,15500,1200,330,270
2018,8,New Mexico,8000,8000,1900,1700,-
2018,8,New York,51000,51000,3900,820,460
2018,8,North Carolina,23000,23000,5000,60,290
2018,8,North Dakota,410000,410000,26000,10000,2900
2018,8,Ohio,18500,18500,2800,510,960
2018,8,Oklahoma,3700,46000,100,40,-
2018,8,Oregon,94000,94000,10000,70,18500
2018,8,Pennsylvania,24000,24000,5500,2500,1100
2018,8,South Carolina,12500,15000,2000,1300,750
2018,8,South Dakota,111000,111000,6500,-,-
2018,8,Tennessee,8500,10500,1300,230,320
2018,8,Texas,127000,285000,20000,3200,1900
2018,8,Utah,29000,29000,2000,480,70
2018,8,Vermont,6500,6500,470,10,10
2018,8,Virginia,9500,9500,1100,300,210
2018,8,Washington,66000,72000,4000,2900,14000
2018,8,West Virginia,8500,8500,1200,70,1600
2018,8,Wisconsin,51000,55000,8500,530,3000
2018,8,Wyoming,28000,29000,3500,2500,320
2018,8,Other States 5/,6070,6970,360,150,240
2018,8,United States,2849770,(X),424860,204510,213990
