Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
2016,5,Alabama,7000,7000,1800,2800,250
2016,5,Arizona,35000,35000,4600,3400,2100
2016,5,Arkansas,13000,14000,1500,1200,90
2016,5,California,1440000,1690000,255000,250000,124000
2016,5,Colorado,3500,12500,1500,200,140
2016,5,Connecticut,3900,3900,870,290,-
2016,5,Florida,305000,315000,42000,54000,25000
2016,5,Georgia,104000,105000,14500,47000,9500
2016,5,Hawaii,10500,10500,380,3400,760
2016,5,Idaho,81000,88000,3700,2600,8000
2016,5,Illinois,6000,10500,4200,2300,390
2016,5,Indiana,9000,9500,2100,490,120
2016,5,Iowa,12500,17500,3100,1700,270
2016,5,Kansas,4600,7000,1600,450,70
2016,5,Kentucky,7500,10500,4100,250,-
2016,5,Louisiana,51000,51000,8000,3100,6500
2016,5,Maine,3100,6500,380,20,-
2016,5,Maryland,7500,10000,4100,1600,870
2016,5,Massachusetts,2900,4600,1000,260,120
2016,5,Michigan,16500,60000,11500,7500,2400
2016,5,Minnesota,28000,74000,3700,690,530
2016,5,Mississippi,34000,76000,8500,22000,7500
2016,5,Missouri,12000,13000,2000,220,910
2016,5,Montana,8500,36000,2200,1400,1100
2016,5,Nebraska,10000,31000,2600,120,310
2016,5,New Jersey,6000,9000,1100,570,1600
2016,5,New Mexico,7000,7000,690,190,600
2016,5,New York,27000,30000,6500,430,950
2016,5,North Carolina,24000,26000,7000,6000,690
2016,5,North Dakota,57000,120000,620,1800,530
2016,5,Ohio,18000,22000,10500,5000,3300
2016,5,Oklahoma,9500,26000,6000,2600,260
2016,5,Oregon,77000,87000,6500,4300,2400
2016,5,Pennsylvania,14000,21000,6500,360,-
2016,5,South Carolina,17000,17500,2700,2700,1400
2016,5,South Dakota,50000,97000,4600,8500,2800
2016,5,Tennessee,9500,9500,2000,1000,190
2016,5,Texas,191000,250000,26000,82000,51000
2016,5,Utah,6000,24000,3300,2500,290
2016,5,Vermont,5500,5500,700,1200,20
2016,5,Virginia,8000,9000,2500,800,460
2016,5,Washington,52000,105000,14000,13500,9000
2016,5,West Virginia,4700,6000,1800,570,60
2016,5,Wisconsin,16500,29000,8000,3100,2500
2016,5,Wyoming,5500,12000,2000,2000,1400
2016,5,Other States 5/,3410,8990,2080,870,150
