,Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
100,2019,Q3,Florida,197000.0,220000,30000.0,53000,40000
101,2019,Q3,Georgia,134000.0,138000,17000.0,27000,33000
102,2019,Q3,Hawaii,16500.0,16500,1800.0,1700,3000
103,2019,Q3,Idaho,82000.0,101000,14000.0,15000,21000
104,2019,Q3,Illinois,11000.0,11000,660.0,700,420
105,2019,Q3,Indiana,11500.0,11500,990.0,520,1200
106,2019,Q3,Iowa,56000.0,57000,3600.0,1200,990
107,2019,Q3,Kansas,6000.0,6000,950.0,300,180
108,2019,Q3,Kentucky,6500.0,7000,840.0,300,660
109,2019,Q3,Louisiana,53000.0,53000,1900.0,1600,2300
110,2019,Q3,Maine,12500.0,12500,890.0,60,170
111,2019,Q3,Maryland,7500.0,7500,360.0,580,680
112,2019,Q3,Massachusetts,8000.0,10000,2200.0,850,730
113,2019,Q3,Michigan,88000.0,88000,8000.0,3000,22000
114,2019,Q3,Minnesota,121000.0,127000,29000.0,1600,6500
115,2019,Q3,Mississippi,16500.0,16500,2900.0,110,650
116,2019,Q3,Missouri,10000.0,10000,540.0,260,410
117,2019,Q3,Montana,145000.0,153000,18500.0,3100,22000
118,2019,Q3,Nebraska,52000.0,54000,6500.0,8500,5000
119,2019,Q3,New Jersey,14000.0,14000,320.0,250,220
120,2019,Q3,New Mexico,6000.0,7000,1200.0,3800,1000
121,2019,Q3,New York,55000.0,56000,3900.0,3600,3700
122,2019,Q3,North Carolina,18000.0,18000,2200.0,2600,2000
123,2019,Q3,North Dakota,455000.0,490000,59000.0,23000,14500
124,2019,Q3,Ohio,16000.0,16000,1300.0,1300,2100
125,2019,Q3,Oklahoma,2100.0,2100,370.0,20,10
126,2019,Q3,Oregon,116000.0,117000,13000.0,3000,49000
127,2019,Q3,Pennsylvania,20000.0,21000,860.0,2900,2300
128,2019,Q3,South Carolina,9500.0,11500,1400.0,670,1100
129,2019,Q3,South Dakota,168000.0,197000,22000.0,8000,6500
130,2019,Q3,Tennessee,9000.0,9000,900.0,540,1000
131,2019,Q3,Texas,112000.0,124000,7500.0,7500,9500
132,2019,Q3,Utah,30000.0,30000,4400.0,970,1400
133,2019,Q3,Vermont,7000.0,7000,90.0,1200,80
134,2019,Q3,Virginia,7500.0,7500,610.0,1000,990
135,2019,Q3,Washington,76000.0,84000,12000.0,7000,3600
136,2019,Q3,West Virginia,7500.0,8000,520.0,170,1200
